,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
David Raya,es ESP,GK,29,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,98ea5115
Declan Rice,eng ENG,MF,26,36,35,3094,34.4,4,5,9,4,0,0,3,0,0.12,0.15,0.26,0.12,0.26,Matches,1c7012b8
Martín Zubimendi,es ESP,MF,26,38,34,2992,33.2,5,1,6,5,0,0,4,0,0.15,0.03,0.18,0.15,0.18,Matches,3ee0dd59
Gabriel Magalhães,br BRA,DF,27,32,30,2751,30.6,3,4,7,3,0,0,4,0,0.10,0.13,0.23,0.10,0.23,Matches,67ac5bb8
William Saliba,fr FRA,DF,24,31,30,2614,29.0,1,0,1,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matches,972aeb2a
Jurriën Timber,nl NED,DF,24,30,28,2454,27.3,3,5,8,3,0,0,5,0,0.11,0.18,0.29,0.11,0.29,Matches,41034650
Viktor Gyökeres,se SWE,FW,27,36,26,2224,24.7,14,1,15,11,3,3,5,0,0.57,0.04,0.61,0.45,0.49,Matches,4d5a9185
Bukayo Saka,eng ENG,FWMF,23,31,25,2222,24.7,7,5,12,6,1,1,2,0,0.28,0.20,0.49,0.24,0.45,Matches,bc7dc64d
Riccardo Calafiori,it ITA,DF,23,26,22,1699,18.9,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,Matches,aded8e6f
Leandro Trossard,be BEL,FWMF,30,31,21,2000,22.2,6,6,12,6,0,0,2,0,0.27,0.27,0.54,0.27,0.54,Matches,38ceb24a
Eberechi Eze,eng ENG,MFFW,27,32,21,1812,20.1,7,2,9,7,0,0,1,0,0.35,0.10,0.45,0.35,0.45,Matches,ae4fc6a4
Piero Hincapié,ec ECU,DF,23,25,20,1792,19.9,1,2,3,1,0,0,2,0,0.05,0.10,0.15,0.05,0.15,Matches,0c7a48f8
Martin Ødegaard,no NOR,MF,26,24,16,1369,15.2,1,6,7,1,0,0,0,0,0.07,0.39,0.46,0.07,0.46,Matches,79300479
Noni Madueke,eng ENG,FWMF,23,26,16,1211,13.5,3,1,4,3,0,0,0,0,0.22,0.07,0.30,0.22,0.30,Matches,bf34eebd
Gabriel Martinelli,br BRA,FWMF,24,30,11,1081,12.0,1,4,5,1,0,0,3,0,0.08,0.33,0.42,0.08,0.42,Matches,48a5a5d6
Mikel Merino,es ESP,MFFW,29,22,10,1036,11.5,4,3,7,4,0,0,1,0,0.35,0.26,0.61,0.35,0.61,Matches,d080ed5e
Cristhian Mosquera,es ESP,DF,21,20,9,994,11.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,dc1ce4f5
Ben White,eng ENG,DF,27,12,9,702,7.8,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,35e413f1
Kai Havertz,de GER,FWMF,26,12,7,581,6.5,2,3,5,2,0,0,1,0,0.31,0.46,0.77,0.31,0.77,Matches,fed7cb61
Myles Lewis-Skelly,eng ENG,MFDF,18,20,5,709,7.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,5dff6c28
Gabriel Jesus,br BRA,FW,28,14,3,429,4.8,3,0,3,3,0,0,3,0,0.63,0.00,0.63,0.63,0.63,Matches,b66315ae
Max Dowman,eng ENG,MF,15,6,1,157,1.7,1,0,1,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches,9008bb70
Christian Nørgaard,dk DEN,MF,31,7,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,df0a4c90
Kepa Arrizabalaga,es ESP,GK,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
Ethan Nwaneri,eng ENG,MF,18,6,0,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f94982c
Andre Annous,eng ENG,FW,17,0,0,,,,,,,,,,,,,,,,Matches,2d14071d
Jakub Kiwior,pl POL,DFMF,25,0,0,,,,,,,,,,,,,,,,Matches,dc3e663e
Marli Salmon,eng ENG,DF,15,0,0,,,,,,,,,,,,,,,,Matches,3dabb62e
Tommy Setford,eng ENG,GK,19,0,0,,,,,,,,,,,,,,,,Matches,d1a2e006
Squad Total,,,26.0,38,418,3420,38.0,67,51,118,63,4,4,51,0,1.76,1.34,3.11,1.66,3.00,,-9999
Opponent Total,,,26.1,38,418,3420,38.0,26,15,41,26,0,0,72,2,0.68,0.39,1.08,0.68,1.08,,-9999
